map_id,map_name,handle,name,display_url,level,vocation,max_hp,max_mp,speed,attack,defense,mgc_defense,command_label,queue_index_team,queue_index_enemy,source
210,草坝_4,capture-210-glassyx-lv38,草刺槐,monstermap/glassyx.swf,38,游侠,1530,1034,0,273,0,91,普通攻击,1,4,"local half-defense full rerun: cross-target half-defense calibration n=137, resolved p50=273; baseline attack=264; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=91, n=25; local policy, not an original-server Defense claim"
210,草坝_4,capture-210-glasszs-lv38,草须芒,monstermap/glasszs.swf,38,战士,2000,764,0,287,96,93,普通攻击,1,4,"local half-defense full rerun: cross-target half-defense calibration n=169, resolved p50=287; baseline attack=277; local policy, not an original-server Attack claim; player normal unit-roll defense p50=96, n=5; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=93, n=32; local policy, not an original-server Defense claim"
216,草坝_11,capture-216-glassss-lv40,草球蔓,monstermap/glassss.swf,40,术士,1357,1500,0,291,54,306,法术普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=429, resolved p50=290.500; baseline attack=281; local policy, not an original-server Attack claim; player normal unit-roll defense p50=54, n=25; local policy, not an original-server Defense claim; player fire unit-roll magic defense p50=306, n=20; local policy, not an original-server Defense claim"
222,草坝_16,capture-222-glassss-lv42,草球蔓,monstermap/glassss.swf,42,术士,1450,1518,0,301,0,340,法术普通攻击,1,4,"local half-defense full rerun: cross-target half-defense calibration n=720, resolved p50=300.5; baseline attack=290; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=340, n=430; local policy, not an original-server Defense claim"
4,涧庭村口,7089932810872715,山林蜘蛛,monstermap/forestspider.swf,1,新手,15,9,15,50,9,0,普通攻击,0,0,"local half-defense full rerun: same defense type inherited ratio from wild-84-6807541628986490;wild-97-8100462475820589;wild-86-1200541669444892;wild-88-6668541757519206;wild-87-4857541734860164; baseline attack=48; local policy, not an original-server Attack claim"
5,涧庭道,7069963681398983,山林狼兽,monstermap/graywolf.swf,1,新手,15,9,15,50,9,0,普通攻击,1,4,"local half-defense full rerun: same defense type inherited ratio from wild-84-6807541628986490;wild-97-8100462475820589;wild-86-1200541669444892;wild-88-6668541757519206;wild-87-4857541734860164; baseline attack=48; local policy, not an original-server Attack claim"
11,涧庭道_1,5391460605264959,蟾蜍,monstermap/toad.swf,1,新手,15,9,0,157,0,0,普通攻击,1,4,"local half-defense full rerun: same defense type inherited ratio from wild-84-6807541628986490;wild-97-8100462475820589;wild-86-1200541669444892;wild-88-6668541757519206;wild-87-4857541734860164; baseline attack=151; local policy, not an original-server Attack claim"
34,平原_3,6118595074170142,爆骨猪,monstermap/bomepig.swf,12,战士,260,155,0,127,0,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=5, resolved p50=126.500; baseline attack=122; local policy, not an original-server Attack claim"
34,平原_3,9649595110235663,牙菇,monstermap/yagu.swf,11,术士,230,190,0,136,0,0,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=2, resolved p50=135.500; baseline attack=131; local policy, not an original-server Attack claim"
35,平原_4,7209595313846187,爆骨猪,monstermap/bomepig.swf,13,战士,295,162,0,95,0,29,普通攻击,1,4,"local half-defense full rerun: strict normal half-defense n=21, resolved p50=95.000; baseline attack=92; local policy, not an original-server Attack claim; player fire unit-roll magic defense p50=29, n=55; local policy, not an original-server Defense claim"
